Analyzer:	Hewlett-Packard, E4407B, SG45102005, A.14.06
Angle Counter:	SA 1885 FIRMWARE # A323537A
Number of angles:	2026
Start to End Frequency	2022.5000MHz	2022.5000MHz

Field Amplitude
		Frequencies [MHz]
Angle	2022.50
23.32	-65.261
23.16	-65.261
22.92	-65.202
22.77	-64.917
22.53	-65.307
22.37	-65.496
22.14	-65.703
21.90	-65.703
21.67	-66.524
21.51	-66.964
21.27	-66.964
21.11	-67.175
20.88	-67.847
20.72	-67.961
20.47	-68.554
20.31	-68.122
20.07	-67.747
19.90	-67.943
19.67	-68.424
19.35	-68.424
19.19	-69.054
19.04	-69.513
18.80	-69.513
18.63	-69.682
18.40	-69.869
18.24	-69.515
18.00	-70.070
17.84	-69.347
17.61	-70.113
17.44	-70.457
17.13	-71.251
16.97	-71.251
16.73	-72.500
16.57	-73.064
16.43	-73.064
16.18	-75.140
16.02	-73.869
15.79	-76.016
15.63	-74.428
15.38	-73.238
15.23	-73.271
14.99	-69.875
14.83	-69.217
14.60	-68.865
14.44	-66.506
14.21	-65.127
14.05	-64.810
13.91	-63.657
13.71	-63.133
13.59	-62.893
13.40	-62.893
13.28	-61.643
13.11	-61.456
12.98	-61.456
12.80	-60.444
12.62	-60.113
12.50	-60.113
12.32	-59.441
12.14	-59.510
11.96	-59.148
11.85	-59.218
11.68	-59.123
11.57	-59.123
11.47	-58.867
11.28	-58.808
11.13	-58.759
11.04	-58.893
10.90	-59.057
10.77	-59.057
10.69	-59.150
10.57	-59.276
10.49	-59.276
10.38	-59.631
10.32	-59.684
10.24	-59.867
10.19	-59.946
10.11	-59.896
10.06	-60.172
10.01	-60.329
9.91	-60.894
9.86	-60.894
9.78	-61.062
9.73	-61.544
9.65	-61.544
9.60	-61.868
9.53	-62.164
9.48	-62.164
9.40	-62.733
9.35	-63.587
9.27	-63.587
9.22	-63.578
9.15	-64.244
9.10	-64.383
9.01	-65.906
8.96	-65.746
8.89	-65.697
8.83	-66.772
8.76	-67.381
8.71	-67.898
8.63	-68.117
8.58	-68.626
8.53	-67.878
8.46	-68.563
8.37	-68.075
8.32	-67.059
8.25	-67.286
8.20	-66.250
8.12	-66.069
8.08	-64.928
8.00	-64.392
7.95	-63.492
7.87	-62.554
7.82	-62.062
7.74	-61.799
7.69	-60.334
7.61	-59.913
7.57	-59.602
7.49	-59.048
7.44	-58.623
7.37	-58.355
7.32	-57.657
7.24	-57.160
7.19	-56.868
7.11	-56.157
7.06	-55.921
7.01	-55.305
6.93	-55.305
6.88	-54.604
6.81	-54.181
6.73	-54.181
6.68	-53.437
6.63	-53.166
6.55	-53.166
6.50	-52.569
6.42	-52.117
6.37	-52.117
6.30	-51.441
6.22	-51.162
6.17	-51.108
6.09	-50.478
6.04	-50.341
5.96	-50.144
5.91	-49.671
5.83	-49.414
5.78	-49.333
5.70	-48.807
5.65	-48.760
5.58	-48.604
5.52	-48.011
5.45	-47.876
5.40	-47.768
5.32	-47.363
5.27	-47.181
5.20	-47.031
5.12	-46.642
5.07	-46.421
4.99	-46.452
4.94	-46.079
4.89	-45.825
4.82	-45.825
4.77	-45.411
4.69	-45.231
4.64	-45.091
4.56	-44.714
4.46	-44.444
4.41	-44.444
4.36	-44.096
4.28	-43.918
4.23	-43.826
4.15	-43.587
4.10	-43.500
4.03	-43.326
3.97	-43.326
3.92	-43.013
3.84	-42.807
3.79	-42.807
3.72	-42.495
3.64	-42.322
3.59	-42.322
3.52	-41.950
3.47	-41.818
3.39	-41.818
3.34	-41.515
3.26	-41.383
3.20	-41.355
3.13	-41.092
3.08	-40.961
3.03	-40.894
2.95	-40.732
2.88	-40.553
2.83	-40.538
2.75	-40.371
2.70	-40.141
2.64	-40.085
2.57	-39.909
2.49	-39.826
2.44	-39.752
2.37	-39.571
2.32	-39.482
2.24	-39.399
2.20	-39.399
2.12	-39.167
2.07	-39.119
1.99	-39.119
1.94	-38.944
1.89	-38.865
1.82	-38.821
1.77	-38.632
1.69	-38.618
1.64	-38.526
1.56	-38.376
1.51	-38.282
1.44	-38.247
1.38	-38.122
1.30	-38.051
1.23	-37.957
1.18	-37.957
1.10	-37.775
1.05	-37.748
1.00	-37.748
0.93	-37.630
0.87	-37.576
0.80	-37.576
0.75	-37.436
0.67	-37.376
0.61	-37.376
0.54	-37.213
0.46	-37.259
0.41	-37.259
0.36	-37.084
0.29	-37.010
0.23	-37.010
0.16	-36.937
0.11	-36.845
0.03	-36.845
-0.02	-36.777
-0.10	-36.705
-0.15	-36.705
-0.20	-36.673
-0.27	-36.659
-0.35	-36.654
-0.40	-36.622
-0.48	-36.571
-0.53	-36.569
-0.61	-36.477
-0.66	-36.437
-0.74	-36.411
-0.79	-36.416
-0.86	-36.369
-0.91	-36.360
-0.96	-36.360
-1.04	-36.339
-1.12	-36.345
-1.17	-36.299
-1.25	-36.266
-1.29	-36.211
-1.37	-36.211
-1.45	-36.203
-1.50	-36.209
-1.55	-36.209
-1.62	-36.227
-1.67	-36.207
-1.75	-36.207
-1.80	-36.235
-1.88	-36.299
-1.93	-36.299
-2.00	-36.198
-2.06	-36.252
-2.13	-36.252
-2.18	-36.132
-2.25	-36.190
-2.30	-36.203
-2.38	-36.182
-2.43	-36.198
-2.51	-36.224
-2.56	-36.242
-2.64	-36.281
-2.75	-36.293
-2.80	-36.397
-2.85	-36.351
-2.92	-36.351
-2.97	-36.364
-3.05	-36.430
-3.10	-36.430
-3.17	-36.428
-3.22	-36.469
-3.30	-36.469
-3.35	-36.524
-3.43	-36.566
-3.50	-36.578
-3.55	-36.643
-3.65	-36.708
-3.70	-36.758
-3.75	-36.796
-3.83	-36.823
-3.88	-36.900
-3.96	-36.958
-4.03	-37.008
-4.08	-37.008
-4.13	-37.110
-4.21	-37.154
-4.26	-37.154
-4.34	-37.287
-4.39	-37.347
-4.46	-37.383
-4.52	-37.427
-4.59	-37.467
-4.64	-37.494
-4.72	-37.601
-4.79	-37.699
-4.84	-37.704
-4.89	-37.797
-4.97	-37.867
-5.05	-37.906
-5.10	-38.093
-5.16	-38.130
-5.23	-38.183
-5.28	-38.313
-5.35	-38.491
-5.41	-38.527
-5.48	-38.672
-5.54	-38.756
-5.61	-38.797
-5.67	-38.984
-5.75	-39.060
-5.80	-39.125
-5.84	-39.230
-5.92	-39.419
-6.00	-39.450
-6.05	-39.526
-6.12	-39.608
-6.17	-39.687
-6.22	-39.687
-6.30	-39.936
-6.35	-40.083
-6.43	-40.083
-6.48	-40.491
-6.56	-40.595
-6.63	-40.822
-6.71	-40.964
-6.76	-41.013
-6.83	-41.013
-6.89	-41.377
-6.96	-41.440
-7.02	-41.566
-7.07	-41.817
-7.15	-41.866
-7.20	-42.054
-7.27	-42.336
-7.32	-42.489
-7.39	-42.540
-7.44	-42.723
-7.52	-42.764
-7.57	-43.122
-7.62	-43.122
-7.70	-43.465
-7.78	-44.239
-7.83	-44.239
-7.90	-45.957
-7.98	-46.463
-8.02	-46.463
-8.08	-45.428
-8.15	-45.393
-8.21	-45.367
-8.28	-45.729
-8.34	-46.010
-8.39	-45.943
-8.47	-45.300
-8.54	-45.364
-8.61	-45.264
-8.66	-45.483
-8.74	-45.619
-8.79	-45.619
-8.87	-45.939
-8.92	-46.112
-9.00	-46.188
-9.08	-46.642
-9.15	-46.784
-9.20	-46.784
-9.25	-47.225
-9.32	-47.463
-9.39	-47.463
-9.45	-47.871
-9.52	-48.150
-9.57	-48.150
-9.65	-48.671
-9.70	-49.027
-9.75	-49.027
-9.83	-49.543
-9.90	-49.749
-9.95	-49.823
-10.00	-50.232
-10.08	-50.512
-10.13	-50.571
-10.21	-50.999
-10.26	-51.214
-10.31	-51.421
-10.36	-51.421
-10.44	-52.220
-10.51	-52.413
-10.56	-52.413
-10.64	-53.068
-10.69	-53.437
-10.76	-53.437
-10.82	-54.073
-10.90	-54.696
-10.95	-54.655
-11.00	-55.148
-11.08	-55.550
-11.13	-55.941
-11.20	-56.404
-11.25	-56.825
-11.33	-56.927
-11.38	-57.919
-11.46	-58.031
-11.51	-58.509
-11.59	-58.509
-11.64	-59.598
-11.69	-59.893
-11.77	-59.893
-11.82	-61.095
-11.87	-61.144
-11.94	-61.817
-11.99	-62.608
-12.07	-63.279
-12.12	-63.077
-12.20	-64.353
-12.25	-64.770
-12.32	-65.047
-12.37	-66.067
-12.44	-66.273
-12.50	-66.099
-12.54	-66.099
-12.62	-66.324
-12.67	-67.213
-12.75	-67.213
-12.80	-66.902
-12.88	-66.607
-12.93	-66.607
-13.01	-66.065
-13.08	-65.920
-13.13	-65.920
-13.21	-65.655
-13.26	-64.949
-13.36	-64.949
-13.42	-64.542
-13.46	-63.904
-13.54	-63.904
-13.59	-63.762
-13.67	-63.317
-13.72	-63.317
-13.79	-63.388
-13.85	-63.373
-13.92	-63.373
-13.98	-62.768
-14.05	-62.440
-14.11	-62.440
-14.16	-62.292
-14.23	-62.162
-14.31	-62.156
-14.36	-61.903
-14.44	-61.910
-14.49	-62.215
-14.56	-61.735
-14.64	-61.553
-14.72	-61.722
-14.77	-61.403
-14.85	-61.495
-14.90	-61.766
-14.97	-61.553
-15.03	-61.753
-15.10	-61.157
-15.15	-61.595
-15.22	-61.625
-15.27	-61.726
-15.38	-61.910
-15.43	-61.868
-15.51	-62.117
-15.56	-62.008
-15.63	-62.124
-15.68	-62.101
-15.76	-62.069
-15.81	-62.495
-15.88	-62.222
-15.94	-62.456
-16.02	-62.845
-16.07	-62.878
-16.15	-62.941
-16.20	-63.103
-16.30	-63.289
-16.35	-63.332
-16.42	-63.440
-16.50	-63.758
-16.55	-64.107
-16.61	-64.374
-16.68	-64.531
-16.73	-64.535
-16.81	-64.719
-16.86	-64.810
-16.94	-64.973
-17.01	-65.458
-17.09	-65.458
-17.14	-65.917
-17.22	-65.752
-17.27	-65.752
-17.35	-67.026
-17.40	-66.517
-17.48	-66.472
-17.53	-67.577
-17.61	-67.671
-17.65	-68.390
-17.76	-68.383
-17.81	-69.317
-17.86	-69.317
-17.94	-69.787
-18.01	-70.551
-18.06	-70.551
-18.14	-70.725
-18.19	-71.195
-18.24	-71.530
-18.31	-72.382
-18.39	-72.238
-18.49	-72.639
-18.55	-73.238
-18.60	-73.305
-18.68	-73.075
-18.73	-72.892
-18.80	-74.660
-18.85	-73.731
-18.93	-73.229
-18.98	-74.028
-19.06	-74.241
-19.11	-73.332
-19.16	-75.692
-19.24	-73.722
-19.29	-74.184
-19.37	-75.306
-19.42	-75.302
-19.50	-74.311
-19.55	-73.483
-19.62	-73.821
-19.68	-73.515
-19.75	-73.919
-19.81	-73.504
-19.86	-74.140
-19.94	-73.826
-20.01	-73.862
-20.06	-73.194
-20.16	-72.844
-20.21	-72.844
-20.29	-72.714
-20.34	-72.445
-20.42	-72.445
-20.47	-73.403
-20.55	-73.383
-20.60	-71.934
-20.65	-71.876
-20.73	-73.383
-20.80	-73.383
-20.85	-72.691
-20.92	-72.127
-20.98	-71.757
-21.08	-71.833
-21.13	-71.810
-21.21	-71.810
-21.29	-72.260
-21.34	-73.103
-21.39	-73.103
-21.46	-71.146
-21.51	-70.577
-21.59	-71.098
-21.67	-71.072
-21.72	-72.558
-21.80	-71.530
-21.86	-72.630
-21.91	-72.497
-21.99	-72.066
-22.06	-72.694
-22.11	-73.042
-22.17	-73.086
-22.30	-72.256
-22.43	-73.314
-22.64	-72.182
-22.78	-71.994
-23.00	-71.658
-23.15	-73.355
-23.37	-73.355
-23.51	-72.987
-23.66	-71.413
-23.88	-71.413
-24.03	-71.150
-24.25	-70.814
-24.49	-70.814
-24.65	-69.308
-24.83	-68.810
-25.10	-68.810
-25.37	-66.604
-25.56	-65.817
-25.84	-65.817
-26.01	-64.518
-26.29	-65.298
-26.48	-64.582
-26.73	-63.769
-27.10	-63.533
-27.28	-63.533
-27.46	-63.103
-27.75	-62.876
-27.93	-62.876
-28.21	-62.119
-28.49	-61.916
-28.67	-61.916
-28.97	-61.941
-29.17	-61.912
-29.46	-61.912
-29.66	-61.759
-29.96	-62.053
-30.17	-62.565
-30.38	-62.231
-30.69	-62.847
-30.90	-63.000
-31.22	-63.473
-31.54	-63.923
-31.76	-63.663
-31.96	-65.470
-32.27	-65.864
-32.47	-66.420
-32.78	-66.711
-32.99	-69.059
-33.30	-68.062
-33.51	-68.062
-33.82	-71.772
-34.03	-73.151
-34.23	-73.151
-34.55	-75.840
-34.76	-78.812
-35.07	-78.812
-35.27	-81.294
-35.58	-85.905
-35.79	-78.568
-36.11	-75.301
-36.31	-73.264
-36.63	-71.483
-36.84	-69.931
-37.05	-69.689
-37.37	-68.426
